X,Y,Z,Porosity,Attr,AI,Sequence,Well
40800,57800,-310.97,50.9,0.8043958182987451,2791800.0,m54,m28
40800,57800,-311.77,58.2,0.7861618265828084,,m54,m28
40800,57800,-313.52,54.4,0.7431521995299886,3218936.0,m54,m28
40800,57800,-314.77,57.4,0.7062824415120655,,m54,m28
40800,57800,-318.41,59.1,0.6159364235896765,2921072.0,m54,m28
40800,57800,-320.1,56.3,0.6009471246200356,2128388.0,m54,m28
40800,57800,-320.99,51.1,0.5968154036483123,3083697.0,m54,m28
40800,57800,-322.45,21.2,0.5986584109114343,2607948.0,m54,m28
40800,57800,-323.39,54.0,0.6048680277821548,3205212.0,m54,m28
40800,57800,-323.87,52.3,0.608038895971459,3377036.0,m54,m28
40800,57800,-324.04,45.4,0.6091619117885043,3361925.9999999995,m54,m28
40800,57800,-325.39,45.0,0.6157042975116216,,m54,m28
40800,57800,-325.82,41.3,0.6173139920354901,,m54,m28
40800,57800,-325.88,28.1,0.6175386005737044,3320085.0,m54,m28
40800,57800,-326.48,28.3,0.6197846859558465,3017800.0,m54,m28
40800,57800,-327.52,35.7,0.6229963347333625,4320288.0,m54,m28
40800,57800,-327.55,46.6,0.6228636235292613,,m54,m28
40800,57800,-328.81,45.1,0.6172897529570126,3299940.0,m54,m28
40800,57800,-329.04,31.9,0.616272300392237,,m54,m28
40800,57800,-330.12,25.4,0.6114946970445954,,m54,m28
40800,57800,-330.43,39.3,0.6107954478763059,,m54,m28
40800,57800,-331.69,19.7,0.6124613565877699,,m54,m28
40800,57800,-332.24,39.4,0.6131885389618217,3932940.0,m54,m28
40800,57800,-332.94,53.2,0.6141140438015239,,m54,m28
40800,57800,-333.41,20.8,0.6139228280131109,3987255.0,m54,m28
40800,57800,-333.44,22.3,0.613851926454631,,m54,m28
40800,57800,-335.0,29.8,0.610165045413673,3204228.0,m54,m28
40800,57800,-336.16,27.6,0.606824047035526,,m54,m28
40800,57800,-337.13,10.7,0.598346196171534,,m54,m28
40800,57800,-342.79,27.6,0.5289094322063647,3626688.0,m54,m28
40800,57800,-344.28,25.2,0.5200263410817347,3172483.9999999995,m54,m28
40800,57800,-345.84,33.2,0.5264602140457731,,m54,m28
40800,57800,-347.34,28.0,0.5381378829327921,3603576.0,m54,m28
40800,57800,-348.96,27.6,0.5716945881542189,4101888.0,m54,m28
40800,57800,-352.59,25.8,0.6621927539928929,3356799.0,m54,m28
40800,57800,-354.99,25.7,0.6992547360523483,3122952.0,m54,m28
40800,57800,-358.29,44.6,0.6988647222638988,3495316.0,m54,m28
40800,57800,-359.81,49.6,0.6873993494339503,3396877.0,m54,m28
40800,57800,-361.04,47.7,0.6765405089418056,3343626.0,m54,m28
40800,57800,-362.45,39.4,0.6699658958044152,,m54,m28
40800,57800,-364.04,42.0,0.6747686112082527,3290886.0,m54,m28
40800,57800,-365.6,38.2,0.6808260001416357,3686604.0,m54,m28
40800,57800,-367.06,46.3,0.6877894890531435,,m54,m28
40800,57800,-370.09,48.5,0.7075149238069224,,m54,m28
40800,57800,-373.82,42.4,0.7920458452863373,2945288.0,m54,m28
